X,Y,Z
-508.65108447004354,630.8975842184407,1299.5277877240446
-552.7093940237787,587.5086773576329,623.1210944460406
1205.4942242587204,624.8066278743338,-803.7483009605294
-485.2843018640742,565.0324184356214,801.4564024707558
-514.6747691395944,557.0257345885659,740.8319416205782
1367.7709073449369,618.522001510159,-805.4278051357633
-486.214605363336,640.7028242977349,918.6111024872557
-486.4289552264672,594.0123241960646,935.8517737854652
-490.0374818761063,455.7925744032963,779.8854165672424
-479.85025782029743,715.6263705150034,1267.1502021989688
-531.8543249860413,599.7279030503231,688.8281046192686
-485.12459113246314,471.1195302183244,519.2636964605057
-494.19848591365144,583.6470185316484,1027.47171069249
-487.7015701842115,520.8106171637344,984.9229854126677
-486.64824593147523,585.9889451528558,809.00322
-486.3479996063629,592.7957923245567,478.07248020431393
-496.003377751696,611.1050497913307,883.8828497707647
-490.6907051468752,694.6069918351377,1245.4650614343639
-536.1736512388752,586.5966507988007,898.1730094929552
-560.0700116147914,638.6058150467732,758.973887798368
-481.7251407706883,499.13445194944484,620.6931095126389
-482.0279647128059,560.1492321143628,827.7166699964123
-487.8900061611416,551.4115764163175,1010.5440032377842
-569.5006866951007,690.3394529670109,884.3521171791444
-486.29072185534187,593.9453184128467,685.5973793091568
-591.8840095127562,599.1383279496149,695.0827852598209
-487.60952523014976,480.79357194176015,1063.1667931291427
-475.2571270292897,561.1746411238632,984.541324545522
-486.65507533119126,585.9802600390565,1141.211
-487.7846580627531,595.0400672393571,1132.9076733157528
-486.1923575732653,644.9897798619145,1049.4518588875671
-486.659364381733,585.9887802194562,750.298
-486.6367450910043,585.9926449010936,843.5632
-485.72438638044605,647.4521590227462,1147.879281550353
-486.63261531917715,585.9851920917978,927.5070000000001
-495.4372833438797,586.5350330556018,892.9185108664974
-255.24313350089187,512.7221623285395,1154.259940131063
-539.7257994893098,641.1300592585552,1202.799816278307
-486.64876046836116,585.9809117582242,970.019
-531.7340284176898,700.1174536527802,1039.828785705894
-591.4169742448844,618.4716021618722,653.2520124492224
-488.03831175815935,636.4707222452323,1065.3947147007545
-502.4162426364319,585.8583540411523,824.0692555970898
-486.06667683938326,640.4556785809726,1105.180043458279
-561.9773271784338,600.1903007374058,418.5700729687738
-488.81452048798155,512.716310890037,875.0466375680624
-478.01554223343146,625.6058315246648,1089.4274054048692
-487.18588399662394,573.1615402956226,498.6714564443993
-500.17188940863525,655.0035074535143,1075.2562093537474
-486.6564043462513,585.9784932161996,966.9585199999999
-486.65424778166425,585.9862520286094,473.0164
-486.64131014955865,585.9990232166961,778.6636
-500.652562181602,610.1851611953562,1253.8550483442157
-505.87897806258115,610.8337137016174,919.795304594998
-500.8224289725465,583.9017173936322,680.8490451985894
-539.9831166820877,626.9794569056617,896.7456894728339
-466.8226359506132,558.8849284121061,1381.749641165514
-515.2182077395405,587.1967597620365,943.040295875516
-454.4886141301208,636.3515877982658,1459.186293224089
-503.50647185540174,585.840924390679,931.2240680335581
-486.8681994205076,576.4917578567015,1116.0674415198005
-477.84645444938633,601.8590150763101,952.0312141760726
-466.62318900869195,606.4094733393354,1004.1432549554739
-548.442468471527,613.973095985609,839.5229056507951
-486.6673670800701,585.9736002948711,1051.65132
-486.6646016563668,585.9794196910821,904.3810000000001
-526.7748714240652,709.4214445954451,1301.71933994715
-488.1287182092751,530.0966231272394,1013.6350629025968
-488.42928998192656,525.3485966762833,594.5118489529473
-480.22441416700576,708.1723522967379,1150.911337869147
-486.38356895340803,498.80745929823775,731.6405682459481
-483.19858456021893,649.6804218373398,1225.3347440338644
-486.75282857326465,578.2858536904059,782.2282874742525
-444.3388751553689,436.6439127935714,970.3994450684354
-513.6640458512402,622.8075400354387,662.9223080561601
-487.66286623487076,476.87419668963895,1130.5354159595922
-478.6425486224025,585.5205951548655,903.4411520241697
-508.79554543248923,652.8682099656799,823.8378850796652
-515.8483893959183,770.0686039495713,1275.7192648820705
-448.85608019069605,567.6285525513606,972.7514709738804
